Data;Loja;Produto;Categoria;Quantidade;Preço Unitário;Total Venda;Cliente_ID;Forma_Pagamento
2024-02-29;Loja B;Refrigerante;Bebidas;2;42.32;84.64;1634;Pix
2023-10-21;Loja B;Feijão;Alimentos;3;42.69;128.07;2495;Dinheiro
2022-02-02;Loja A;Arroz;Alimentos;1;9.37;9.37;1719;Pix
2023-12-11;Loja A;Shampoo;Higiene;1;11.87;11.87;8620;Cartão
2023-07-04;Loja B;Feijão;Alimentos;2;48.62;97.24;1711;Cartão
2024-10-29;Loja A;Sabão em Pó;Limpeza;1;41.42;41.42;9615;Transferência
2024-02-17;Loja B;Arroz;Alimentos;1;16.81;16.81;7107;Transferência
2023-03-07;Loja A;Pasta de Dente;Higiene;4;26.75;107.0;1905;Pix
2022-11-22;Loja B;Shampoo;Higiene;6;35.33;211.98;2533;Pix
2023-05-03;Loja A;Sabão em Pó;Limpeza;10;3.86;38.6;8588;Pix
2022-12-09;Loja A;Detergente;Limpeza;4;9.29;37.16;1979;Pix
2023-08-09;Loja B;Shampoo;Higiene;8;37.63;301.04;4894;Transferência
2022-03-13;Loja A;Sabão em Pó;Limpeza;9;25.05;225.45;8449;Não informado
2024-06-13;Loja A;Detergente;Limpeza;2;42.95;85.9;2761;Cartão
2023-04-28;Loja B;Detergente;Limpeza;3;24.38;73.14;4671;Pix
2023-10-03;Loja C;Feijão;Alimentos;2;23.24;46.48;2689;Pix
2022-05-07;Loja C;Refrigerante;Bebidas;3;9.66;28.98;6550;Pix
2022-09-11;Loja A;Cerveja;Bebidas;4;19.11;76.44;6738;Dinheiro
2024-06-30;Loja C;Açúcar;Alimentos;9;36.29;326.61;3243;Cartão
2022-04-09;Loja B;Sabão em Pó;Limpeza;2;23.24;46.48;7338;Pix
2023-08-28;Loja A;Refrigerante;Bebidas;8;22.74;181.92;8218;Cartão
2024-06-08;Loja A;Sabão em Pó;Limpeza;9;18.62;167.58;1862;Dinheiro
2022-08-10;Loja B;Refrigerante;Bebidas;8;11.08;88.64;3819;Transferência
2023-02-02;Loja C;Refrigerante;Bebidas;9;2.24;20.16;9975;Dinheiro
2022-09-29;Loja A;Sabão em Pó;Limpeza;2;30.22;60.44;1533;Cartão
2022-06-19;Loja B;Sabão em Pó;Limpeza;2;33.18;66.36;3334;Cartão
2023-09-16;Loja C;Leite;Alimentos;3;5.95;17.85;2689;Pix
2022-12-28;Loja B;Açúcar;Alimentos;3;27.15;81.45;9986;Pix
2023-05-10;Loja B;Detergente;Limpeza;2;21.92;43.84;8057;Transferência
2022-03-05;Loja A;Pasta de Dente;Higiene;1;27.22;27.22;5492;Pix
2023-02-20;Loja A;Shampoo;Higiene;7;30.68;214.76;6985;Dinheiro
2024-09-04;Loja B;Arroz;Alimentos;8;21.87;174.96;9953;Cartão
2024-06-24;Loja A;Detergente;Limpeza;4;40.45;161.8;6917;Dinheiro
2023-07-10;Loja C;Leite;Alimentos;3;44.43;133.29;2205;Cartão
2023-04-22;Loja C;Pasta de Dente;Higiene;2;46.68;93.36;8373;Dinheiro
2023-11-03;Loja C;Açúcar;Alimentos;7;25.27;176.89;5986;Transferência
2023-09-19;Loja A;Sabão em Pó;Limpeza;1;20.06;20.06;4665;Transferência
2024-12-22;Loja B;Shampoo;Higiene;5;6.21;31.05;9904;Cartão
2023-06-22;Loja B;Açúcar;Alimentos;1;49.41;49.41;9117;Cartão
2024-02-07;Loja C;Refrigerante;Bebidas;6;23.24;139.44;5842;Dinheiro
2024-11-06;Loja A;Cerveja;Bebidas;9;23.97;215.73;6328;Cartão
2024-07-30;Loja C;Leite;Alimentos;2;23.24;46.48;5143;Transferência
2023-03-28;Loja A;Açúcar;Alimentos;2;30.51;61.02;1961;Transferência
2022-12-03;Loja A;Feijão;Alimentos;7;25.75;180.25;6009;Pix
2023-07-07;Loja C;Cerveja;Bebidas;9;28.79;259.11;2296;Pix
2024-08-15;Loja B;Açúcar;Alimentos;2;47.86;95.72;5459;Transferência
2022-06-25;Loja A;Leite;Alimentos;8;42.55;340.4;5257;Cartão
2023-01-30;Loja A;Açúcar;Alimentos;2;21.29;42.58;5624;Dinheiro
2023-02-02;Loja C;Leite;Alimentos;9;5.15;46.35;6070;Pix
2022-08-28;Loja C;Arroz;Alimentos;6;23.56;141.36;5642;Transferência
2022-10-26;Loja A;Arroz;Alimentos;1;24.56;24.56;4565;Dinheiro
2022-10-01;Loja B;Sabão em Pó;Limpeza;1;14.31;14.31;5946;Transferência
2023-07-06;Loja A;Pasta de Dente;Higiene;10;28.77;287.7;5201;Dinheiro
2024-10-24;Loja A;Detergente;Limpeza;6;3.44;20.64;6412;Dinheiro
2022-04-05;Loja A;Detergente;Limpeza;3;5.6;16.8;8298;Cartão
2022-01-25;Loja A;Pasta de Dente;Higiene;2;49.8;99.6;1024;Cartão
2024-11-06;Loja B;Açúcar;Alimentos;9;37.04;333.36;2994;Dinheiro
2022-10-30;Loja C;Shampoo;Higiene;3;36.87;110.61;5817;Cartão
2022-07-05;Loja C;Refrigerante;Bebidas;5;21.93;109.65;2778;Dinheiro
2024-04-20;Loja A;Refrigerante;Bebidas;4;16.99;67.96;4520;Cartão
2024-05-18;Loja B;Açúcar;Alimentos;2;11.95;23.9;6778;Não informado
2023-12-01;Loja B;Cerveja;Bebidas;3;48.03;144.09;4894;Dinheiro
2023-05-16;Loja B;Cerveja;Bebidas;2;14.3;28.6;2874;Dinheiro
2024-03-22;Loja B;Cerveja;Bebidas;2;11.07;22.14;9489;Cartão
2024-05-03;Loja A;Cerveja;Bebidas;2;36.25;72.5;1327;Transferência
2022-02-11;Loja B;Refrigerante;Bebidas;7;38.04;266.28;4723;Dinheiro
2023-07-05;Loja A;Detergente;Limpeza;1;32.54;32.54;1044;Transferência
2022-10-11;Loja C;Refrigerante;Bebidas;5;30.96;154.8;6689;Dinheiro
2023-01-25;Loja B;Feijão;Alimentos;10;34.66;346.6;5614;Cartão
2023-07-31;Loja C;Feijão;Alimentos;4;4.45;17.8;3461;Dinheiro
2024-12-24;Loja C;Feijão;Alimentos;7;44.31;310.17;5277;Pix
2022-01-11;Loja B;Cerveja;Bebidas;1;7.35;7.35;3013;Transferência
2022-10-06;Loja A;Leite;Alimentos;8;48.75;390.0;8683;Transferência
2024-10-29;Loja A;Feijão;Alimentos;5;13.79;68.95;4383;Cartão
2023-01-26;Loja A;Refrigerante;Bebidas;4;42.38;169.52;1483;Cartão
2022-06-29;Loja C;Sabão em Pó;Limpeza;1;31.55;31.55;3849;Pix
2022-03-21;Loja A;Sabão em Pó;Limpeza;2;11.22;22.44;7766;Cartão
2024-11-19;Loja C;Açúcar;Alimentos;6;43.09;258.54;2772;Dinheiro
2023-05-31;Loja A;Shampoo;Higiene;5;20.94;104.7;1463;Cartão
2023-07-10;Loja A;Pasta de Dente;Higiene;2;32.56;65.12;7728;Transferência
2024-12-15;Loja A;Arroz;Alimentos;3;13.82;41.46;2362;Cartão
2022-05-15;Loja A;Shampoo;Higiene;7;46.09;322.63;2582;Pix
2023-08-28;Loja A;Shampoo;Higiene;10;40.88;408.8;1979;Transferência
2024-01-24;Loja B;Shampoo;Higiene;8;23.24;185.92;1624;Dinheiro
2024-01-14;Loja A;Açúcar;Alimentos;2;23.24;46.48;1627;Dinheiro
2023-06-02;Loja C;Detergente;Limpeza;3;46.22;138.66;7860;Transferência
2024-09-25;Loja A;Cerveja;Bebidas;3;23.24;69.72;4088;Cartão
2022-04-25;Loja C;Leite;Alimentos;6;39.49;236.94;8100;Cartão
2023-04-10;Loja C;Leite;Alimentos;7;37.15;260.05;8630;Cartão
2023-01-07;Loja A;Feijão;Alimentos;4;38.9;155.6;7175;Transferência
2024-03-20;Loja C;Refrigerante;Bebidas;3;35.35;106.05;4247;Transferência
2022-05-18;Loja C;Sabão em Pó;Limpeza;8;15.54;124.32;7683;Cartão
2023-06-29;Loja A;Sabão em Pó;Limpeza;10;39.92;399.2;3991;Dinheiro
2022-02-09;Loja C;Sabão em Pó;Limpeza;3;22.37;67.11;7830;Cartão
2023-09-27;Loja B;Shampoo;Higiene;4;19.23;76.92;6209;Transferência
2024-02-10;Loja B;Shampoo;Higiene;2;7.88;15.76;2394;Transferência
2022-06-14;Loja C;Feijão;Alimentos;2;43.18;86.36;6808;Pix
2022-05-19;Loja C;Pasta de Dente;Higiene;10;46.79;467.9;7792;Transferência
2023-07-07;Loja C;Leite;Alimentos;6;33.09;198.54;6506;Dinheiro
2022-04-30;Loja A;Leite;Alimentos;10;5.28;52.8;2239;Pix
2022-09-03;Loja A;Leite;Alimentos;10;11.4;114.0;8485;Dinheiro
2022-04-07;Loja B;Cerveja;Bebidas;7;3.42;23.94;3758;Dinheiro
2024-09-15;Loja C;Detergente;Limpeza;10;24.54;245.4;9612;Pix
2024-09-21;Loja C;Refrigerante;Bebidas;1;33.64;33.64;5545;Pix
2023-12-12;Loja C;Cerveja;Bebidas;3;40.43;121.29;4822;Transferência
2024-01-31;Loja A;Detergente;Limpeza;2;8.22;16.44;8366;Transferência
2024-04-29;Loja C;Cerveja;Bebidas;2;14.4;28.8;4955;Pix
2023-12-02;Loja C;Feijão;Alimentos;8;22.1;176.8;9252;Dinheiro
2023-06-15;Loja C;Arroz;Alimentos;6;19.9;119.4;3652;Cartão
2024-09-21;Loja C;Feijão;Alimentos;1;2.98;2.98;8034;Pix
2024-05-02;Loja A;Pasta de Dente;Higiene;2;6.18;12.36;7924;Dinheiro
2022-06-16;Loja A;Arroz;Alimentos;3;43.54;130.62;3327;Cartão
2023-11-27;Loja A;Açúcar;Alimentos;6;21.19;127.14;3952;Transferência
2024-10-13;Loja C;Leite;Alimentos;3;8.69;26.07;6022;Cartão
2023-02-11;Loja A;Refrigerante;Bebidas;3;49.45;148.35;5486;Pix
2023-07-04;Loja B;Leite;Alimentos;6;41.91;251.46;6897;Pix
2023-12-26;Loja B;Arroz;Alimentos;2;31.51;63.02;8002;Pix
2022-02-12;Loja A;Pasta de Dente;Higiene;2;48.55;97.1;9695;Transferência
2023-01-13;Loja C;Detergente;Limpeza;4;3.78;15.12;7708;Pix
2022-02-02;Loja C;Detergente;Limpeza;5;35.9;179.5;2409;Dinheiro
2022-09-16;Loja A;Açúcar;Alimentos;10;4.68;46.8;4693;Cartão
2022-10-19;Loja B;Leite;Alimentos;1;23.24;23.24;3373;Pix
2024-08-16;Loja A;Feijão;Alimentos;8;23.24;185.92;1525;Dinheiro
2023-09-13;Loja C;Leite;Alimentos;10;32.69;326.9;5326;Transferência
2024-07-11;Loja B;Feijão;Alimentos;2;11.76;23.52;7750;Cartão
2023-11-08;Loja A;Detergente;Limpeza;8;37.04;296.32;3929;Pix
2024-07-08;Loja B;Arroz;Alimentos;10;29.07;290.7;9045;Dinheiro
2022-06-08;Loja A;Detergente;Limpeza;9;10.0;90.0;7792;Cartão
2022-06-03;Loja C;Sabão em Pó;Limpeza;6;48.82;292.92;9902;Pix
2023-06-09;Loja A;Refrigerante;Bebidas;4;27.11;108.44;6580;Dinheiro
2022-08-21;Loja A;Arroz;Alimentos;10;40.3;403.0;8447;Cartão
2023-10-02;Loja B;Pasta de Dente;Higiene;3;40.76;122.28;4118;Pix
2022-07-28;Loja A;Açúcar;Alimentos;6;38.29;229.74;3731;Pix
2024-09-29;Loja C;Pasta de Dente;Higiene;8;48.87;390.96;3038;Pix
2023-05-03;Loja A;Açúcar;Alimentos;6;38.47;230.82;8581;Transferência
2024-03-14;Loja B;Leite;Alimentos;2;49.91;99.82;2162;Transferência
2022-06-12;Loja C;Açúcar;Alimentos;7;49.21;344.47;9114;Dinheiro
2023-05-25;Loja C;Sabão em Pó;Limpeza;5;6.42;32.1;9910;Cartão
2024-10-08;Loja B;Cerveja;Bebidas;1;45.44;45.44;4041;Dinheiro
2022-04-07;Loja C;Detergente;Limpeza;9;7.5;67.5;3302;Pix
2024-08-25;Loja C;Cerveja;Bebidas;6;2.4;14.4;9853;Transferência
2022-04-22;Loja C;Cerveja;Bebidas;4;48.38;193.52;5852;Transferência
2024-03-26;Loja B;Pasta de Dente;Higiene;1;1.81;1.81;1841;Cartão
2024-11-10;Loja A;Shampoo;Higiene;7;23.24;162.68;7826;Pix
2024-10-20;Loja B;Sabão em Pó;Limpeza;6;20.66;123.96;2888;Cartão
2023-12-04;Loja A;Detergente;Limpeza;2;23.17;46.34;8725;Dinheiro
2022-07-06;Loja C;Leite;Alimentos;6;36.23;217.38;4901;Dinheiro
2023-06-04;Loja A;Shampoo;Higiene;2;45.14;90.28;4879;Dinheiro
2024-05-31;Loja A;Detergente;Limpeza;8;9.11;72.88;7650;Pix
2023-05-09;Loja B;Pasta de Dente;Higiene;7;45.62;319.34;5679;Transferência
2023-12-12;Loja C;Sabão em Pó;Limpeza;2;19.36;38.72;6277;Cartão
2023-12-19;Loja A;Shampoo;Higiene;8;48.97;391.76;4248;Dinheiro
2022-08-16;Loja A;Feijão;Alimentos;10;12.53;125.3;4291;Transferência
2024-02-20;Loja B;Arroz;Alimentos;6;31.81;190.86;8779;Cartão
2022-08-25;Loja B;Açúcar;Alimentos;8;25.12;200.96;7442;Dinheiro
2024-05-23;Loja C;Shampoo;Higiene;3;30.16;90.48;9825;Pix
2022-10-25;Loja A;Feijão;Alimentos;4;23.44;93.76;4256;Pix
2023-12-26;Loja B;Detergente;Limpeza;10;27.86;278.6;9332;Dinheiro
2023-11-12;Loja B;Açúcar;Alimentos;7;8.89;62.23;4430;Dinheiro
2023-11-28;Loja B;Açúcar;Alimentos;10;42.62;426.2;9754;Transferência
2022-02-14;Loja A;Shampoo;Higiene;2;2.21;4.42;5070;Não informado
2024-11-20;Loja B;Pasta de Dente;Higiene;6;20.51;123.06;8953;Pix
